Sample	Total Reads	Mapped Reads	Mapped Reads(%)	Properly Paired	Properly Paired(%)	Duplicate Reads	Read1	Read2	Singletons	Discordant Reads
SRR5341219	735849	691474	93.97	635226	91.87	0	357185	368868	21436	0
SRR5341220	1838376	1773772	96.49	1684600	94.97	0	897009	919536	25523	0
SRR5341221	1268182	1210498	95.45	983754	81.27	0	567919	585791	23582	0
SRR5341222	916341	737608	80.49	707264	95.89	0	453039	458589	13293	0
SRR5341223	8416577	8328016	98.95	8038722	96.53	0	4143760	4164319	6038	0
SRR5341224	2723731	2692032	98.84	2607244	96.85	0	1343554	1350886	7479	0
SRR5341225	1384519	1347840	97.35	1279152	94.9	0	676092	678787	4624	0
SRR5341226	1403610	1388767	98.94	1253598	90.27	0	671499	675751	6579	0
SRR5341227	1489455	1478450	99.26	1428312	96.61	0	733544	736192	4447	0
SRR5341228	1261197	1248411	98.99	1131884	90.67	0	602905	606336	5861	0
SRR5341229	1248720	1233515	98.78	1157764	93.86	0	608637	612747	7271	0
SRR5341230	1466942	1449366	98.8	1340840	92.51	0	708731	713665	7206	0
SRR5341231	1249501	1231272	98.54	1066724	86.64	0	586905	592931	7577	0
SRR5341232	2942491	2907312	98.8	2807430	96.56	0	1447017	1457787	9701	0
SRR5341233	1602185	1582090	98.75	1523092	96.27	0	785851	790055	6619	0
SRR5341234	3152919	3119649	98.94	3008636	96.44	0	1551942	1559808	6758	0
SRR5341235	2961255	2924538	98.76	2806172	95.95	0	1453110	1466543	11352	0
SRR5341236	1919582	1874205	97.64	1496160	79.83	0	839619	860315	17007	0
SRR5341237	2640161	2614696	99.04	2512848	96.1	0	1296024	1302524	6233	0
SRR5341238	2475982	2447377	98.84	2368072	96.76	0	1220265	1228335	8171	0
SRR5341239	5829658	5754370	98.71	5491724	95.44	0	2843607	2873925	12192	0
SRR5341240	1882920	1860415	98.8	1799128	96.71	0	929872	934649	7094	0
SRR5341241	3216911	3164478	98.37	3059554	96.68	0	1586120	1603539	12942	0
SRR5341242	3419305	3377371	98.77	3258066	96.47	0	1679104	1689923	8351	0
SRR5341243	2418609	2355179	97.38	1920708	81.55	0	1077421	1105241	20194	0
SRR5341244	2998308	2953391	98.5	2848848	96.46	0	1469890	1483113	10738	0
SRR5341245	3084503	3019469	97.89	2458150	81.41	0	1383377	1416788	19691	0
SRR5341246	598805	558082	93.2	431834	77.38	0	259078	273142	21489	0
SRR5341247	2169543	2100561	96.82	1671726	79.58	0	947388	980546	23966	0
SRR5341248	1673349	1619897	96.81	1285978	79.39	0	722815	745834	22597	0
SRR5341249	1572793	1511919	96.13	1170250	77.4	0	675136	702002	24090	0
SRR5341250	3455906	3405730	98.55	3267206	95.93	0	1689448	1709563	13171	0
SRR5341251	1477580	1419414	96.06	1061616	74.79	0	623895	648306	22315	0
SRR5341252	2778784	2742439	98.69	2628974	95.86	0	1362589	1374225	9571	0
SRR5341253	1996791	1952903	97.8	1602058	82.03	0	856019	872356	18779	0
SRR5341254	3372943	3041867	90.18	2902338	95.41	0	1643358	1667033	16467	0
SRR5341255	1289044	1212437	94.06	913462	75.34	0	552713	586532	30382	0
SRR5341256	1101151	1040241	94.47	768542	73.88	0	466597	491000	25475	0
SRR5341257	2240887	2194304	97.92	2064494	94.08	0	1085024	1104469	19496	0
SRR5341258	1887797	1851604	98.08	1426592	77.05	0	782354	797844	16059	0
SRR5341259	1366850	1321331	96.67	1013976	76.74	0	580053	598673	20097	0
SRR5341260	1136381	1083179	95.32	823526	76.03	0	485578	507127	25331	0
SRR5341261	2671671	2578508	96.51	2418114	93.78	0	1287209	1331986	37050	0
SRR5341262	1052761	1005309	95.49	780620	77.65	0	453564	469086	25376	0
SRR5341263	2291219	2262738	98.76	2173848	96.07	0	1121185	1130694	9960	0
SRR5341264	4948259	4898218	98.99	4703068	96.02	0	2429555	2448104	9262	0
SRR5341265	4927590	4877134	98.98	4690390	96.17	0	2420301	2440371	9772	0
SRR5341266	2773972	2713940	97.84	2617102	96.43	0	1358259	1384387	20994	0
SRR5341267	2811620	1216254	43.26	1162660	95.59	0	1395983	1402752	15151	0
SRR5341272	3054315	3003629	98.34	2970448	98.9	0	1522284	1526501	10839	0
SRR5341273	2051197	1952056	95.17	1936674	99.21	0	1023631	1024732	4942	0
SRR5341274	2503013	2460977	98.32	2418394	98.27	0	1246606	1251623	14855	0
SRR5341275	2258605	2222678	98.41	2200180	98.99	0	1126873	1129729	10467	0
SRR5341276	2485135	2423615	97.52	2407942	99.35	0	1240517	1241460	3467	0
SRR5341277	1615332	1598894	98.98	1585050	99.13	0	806134	806634	3058	0
SRR5341278	639073	591672	92.58	586654	99.15	0	319090	319211	1720	0
SRR5341279	1155625	1130882	97.86	1117546	98.82	0	576465	577374	6220	0
SRR5341280	2311487	2293083	99.2	2265620	98.8	0	1152323	1153613	4844	0
SRR5341281	1864851	1835096	98.4	1808286	98.54	0	929654	932630	11405	0
SRR5341282	2682139	2646621	98.68	2610226	98.62	0	1336384	1343260	15298	0
SRR5341283	637600	628755	98.61	615852	97.95	0	317734	318342	4623	0
SRR5341284	1781463	1759684	98.78	1732096	98.43	0	888033	890079	8749	0
SRR5341285	1710141	1692382	98.96	1677738	99.13	0	853508	854278	4075	0
SRR5341286	8768053	8645302	98.6	8559354	99.01	0	4377711	4383481	4203	0
SRR5341287	4339618	4308261	99.28	4236562	98.34	0	2149649	2151884	3728	0
SRR5341288	5134844	3628366	70.66	3528424	97.25	0	2559203	2562505	23026	0
SRR5341289	2862047	2654703	92.76	2623190	98.81	0	1427169	1428243	4444	0
SRR5341290	2877290	2771093	96.31	2742474	98.97	0	1435154	1436559	5178	0
SRR5341291	1725673	1696751	98.32	1668416	98.33	0	859877	863029	12378	0
